Student ID,Received Address Wallet,IdentityNumber,Certificate Name,Student Name,Received DoB,Year Of Graduation,Classification,Mode of study
stake_test1uruq088hsj2jxxwgjhex6hkpfd2ap7jurhjnqhvfs8why2s0w4ltl,addr_test1qr4fkykkejglg6fz7vydddvwezc4vr4rpecp8nc5psc27zhcq7w00py4yvvu390jd40vzj646ra9c809xpwcnqwawg4q0xgwj3,1234567891,The Degree Of Engineer,Hiep Tran,30/12/2023,2022,Good,Full-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nksu,addr_test1qps5dtz389tm04qnt8nscmr2wc6tjhjwv3vx98j06ykgu23ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqxe3j55,1234567892,The Degree Of Engineer,Bach Trinh,03/12/2023,2022,Good,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nks3,addr_test1qrsttrn8t5rejhflggnckrrs3v6s537wqlftlswkh02kg2cejeeu3c39zpg5z4v3km30wr9vnu7txenw73gr0stq2cyqm9w6hz,1234567893,The Degree Of Engineer,Bach 2,3/2/2023,2022,Good,Full-time
stake_test1upvadt5zw4t5uw8tzzwl0xp5kaks0svzqg6hsfekhjl0fzs7k42ll,addr_test1qqg57af80z9lh2p767mj4k3cjde07n0wnaquzhzzuypnz6ze66hgya2hfcuwkyya77vrfdmdqlqcyq340qnnd0977j9q38c89v,1234567894,The Degree Of Engineer,Tran Lam Lien,3/12/2023,2022,Good,Part-time
stake_test1upzlwwvcu2cfajnzdcvthqw7snp2w2vsp4yceqsph8rx8cqna2ker,addr_test1qqcvgpl7p7hh7zmcy59gv8yy84ttv4dajej3f06w2g300dz97uue3c4snm9xymschwqaapxz5u5eqr2f3jpqrwwxv0sq2e5xeg,1234567895,The Degree Of Bachelor,Le Dinh Minh,3/12/2023,2022,Good,Full-time
stake_test1upgyluuflvwk2kdjxlfzxgqrly3r72652aaa3sj0hdeqdyceq4f0h,addr_test1qp04pc7smwdpmwgh72lsdr5k202y2ztssd6hzwnmexu230zsflecn7cav4vmyd7jyvsq87fz8u44g4mmmrpylwmjq6fswr9x6w,1234567896,The Degree Of Bachelor,Vu Truong Giang,3/12/2023,2022,Excellent,Full-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka1,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h7,1234567897,The Degree Of Bachelor,Nguyen Van G,3/12/2023,2022,Excellent,Full-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka2,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h8,1234567898,The Degree Of Bachelor,Nguyen Van H,3/12/2023,2022,Good,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka3,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h9,1234567899,The Degree Of Bachelor,Nguyen Van I,3/12/2023,2022,Excellent,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka4,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h7,2234567891,The Degree Of Bachelor,Nguyen Van G,3/12/2023,2022,Good,Full-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka5,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h8,3234567891,The Degree Of Bachelor,Nguyen Van H,3/12/2023,2022,Excellent,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka6,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h9,4234567891,The Degree Of Bachelor,Nguyen Van I,3/12/2023,2022,Excellent,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka7,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h7,5234567891,The Degree Of Bachelor,Nguyen Van G,3/12/2023,2022,Good,Full-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka8,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h8,6234567891,The Degree Of Bachelor,Nguyen Van H,3/12/2023,2022,Excellent,Part-time
stake_test1uqmw4ydawakkjwasf94w5f5frcrkt3t56taafgydh2wdkwqw3nka9,addr_test1qq68a8hxmz6x295epvy5tluak0z3z9uxfk0yqsepnragz33ka2gm6amddyamqjt2agngj8s8vhzhf5hm6jsgmw5umvuqx9u8h9,7234567891,The Degree Of Bachelor,Nguyen Van I,3/12/2023,2022,Good,Part-time
